admission_grade,tuition_up_to_date,scholarship_holder,age,gender,approved_sem1,grade_sem1,approved_sem2,grade_sem2,target
113.3,1,0,20,0,4,11.95,4,11.95,Dropout
133.0,1,0,18,0,5,12.4,5,10.4,Dropout
140.0,1,0,33,0,6,14.35,6,14.583333333333334,Dropout
128.3,1,0,35,0,21,12.61904761904762,19,12.789473684210526,Graduate
140.0,1,1,26,0,6,12.666666666666666,6,13.166666666666666,Enrolled
104.0,0,0,27,0,5,12.0,0,0.0,Dropout
122.3,0,0,19,0,6,12.166666666666666,0,0.0,Dropout
135.0,1,0,20,0,0,0.0,0,0.0,Dropout
119.1,0,0,20,0,3,10.0,3,10.571428571428571,Dropout
126.6,0,0,21,0,8,11.5,4,10.0,Enrolled
129.0,1,1,18,0,6,13.05,6,13.05,Graduate
162.3,1,0,24,0,2,11.0,0,0.0,Dropout
163.4,1,0,20,0,6,11.5,6,12.0,Graduate
121.5,1,1,21,0,6,12.0,6,12.5,Graduate
122.8,1,0,23,0,2,10.0,1,10.0,Enrolled
118.0,1,0,24,0,0,0.0,0,0.0,Dropout
134.0,1,0,21,0,0,0.0,0,0.0,Dropout
129.8,1,0,18,0,7,12.242857142857144,7,12.242857142857144,Graduate
152.0,1,0,27,0,0,0.0,0,0.0,Dropout
122.8,1,0,18,0,8,12.93375,8,12.93375,Graduate
150.0,1,0,35,0,0,0.0,0,0.0,Dropout
131.8,1,0,18,0,7,12.571428571428571,7,14.428571428571429,Graduate
105.9,1,0,35,0,3,11.816666666666668,3,11.333333333333334,Enrolled
132.1,1,0,19,0,4,13.75,4,14.333333333333334,Graduate
127.4,1,0,20,0,6,11.166666666666666,6,11.333333333333334,Graduate
129.5,1,0,18,0,7,12.324285714285711,7,12.324285714285711,Graduate
126.7,1,0,21,0,6,12.166666666666666,6,11.714285714285714,Graduate
116.5,1,1,18,0,5,11.142857142857142,4,11.25,Graduate
119.1,1,0,18,0,4,11.0,4,10.75,Graduate
126.5,1,0,18,0,7,12.914285714285713,7,12.914285714285713,Graduate
149.8,1,1,18,0,6,13.833333333333334,6,14.166666666666666,Graduate
115.1,1,0,19,0,6,13.857142857142858,5,13.4,Graduate
124.5,1,1,36,0,6,13.714285714285714,5,12.8,Dropout
128.3,1,1,18,0,7,12.642857142857142,7,12.642857142857142,Graduate
136.0,1,1,18,0,6,12.916666666666666,6,12.916666666666666,Graduate
140.0,1,1,20,0,6,15.625,6,15.857142857142858,Graduate
126.3,1,1,26,0,0,0.0,0,0.0,Dropout
126.9,1,0,21,0,6,11.714285714285714,6,12.0,Graduate
145.0,1,0,25,0,6,12.125,8,13.3125,Enrolled
115.8,1,1,19,0,5,11.6,5,11.6,Graduate
100.0,1,0,24,0,1,10.0,0,0.0,Dropout
102.5,1,1,27,0,1,10.0,0,0.0,Dropout
131.5,1,0,21,0,0,0.0,2,13.5,Dropout
147.0,1,1,18,0,4,13.0,3,12.333333333333334,Graduate
122.5,1,1,19,0,6,13.333333333333334,6,14.5,Graduate
117.5,1,0,18,0,4,11.25,2,12.5,Dropout
150.0,1,1,19,0,5,13.85,7,12.19285714285714,Graduate
127.5,1,1,19,0,6,13.741666666666667,7,14.9125,Graduate
140.0,1,0,33,0,6,15.333333333333334,5,15.8,Graduate
130.0,1,0,45,0,5,11.0,5,13.8,Graduate
133.3,1,1,20,0,6,12.0,6,12.857142857142858,Graduate
97.0,1,0,28,0,0,0.0,0,0.0,Dropout
112.0,1,1,19,0,7,11.571428571428571,7,11.571428571428571,Graduate
123.6,1,0,18,0,6,12.857142857142858,3,12.666666666666666,Graduate
130.5,1,0,38,0,0,0.0,0,0.0,Dropout
133.3,1,0,19,0,5,13.0,5,13.2,Graduate
132.1,1,1,21,0,5,11.0,5,12.0,Graduate
100.0,1,0,21,0,3,12.0,1,15.0,Dropout
140.4,1,1,22,0,5,12.6,6,13.0,Graduate
141.7,1,1,18,0,5,13.4,6,13.166666666666666,Graduate
119.7,1,1,18,0,6,11.333333333333334,6,11.571428571428571,Graduate
122.5,0,0,25,0,4,13.5,4,14.25,Dropout
140.0,0,0,24,0,3,11.75,3,10.333333333333334,Dropout
119.4,1,0,19,0,6,12.471428571428572,7,11.4625,Enrolled
155.0,1,0,24,0,11,12.909090909090908,9,13.555555555555555,Enrolled
119.1,1,1,20,0,5,11.6,5,13.6,Graduate
122.7,0,0,25,0,0,0.0,0,0.0,Dropout
117.9,1,1,20,0,9,12.9,10,12.363636363636363,Graduate
130.0,1,0,23,0,8,13.22,8,13.22,Graduate
120.0,1,1,19,0,7,13.151428571428571,7,13.151428571428571,Graduate
130.0,0,0,29,0,3,12.75,3,11.333333333333334,Dropout
116.8,1,0,21,0,6,11.333333333333334,4,12.25,Graduate
123.4,1,1,18,0,6,13.25,5,14.142857142857142,Graduate
125.4,1,0,19,0,5,12.4,5,12.4,Enrolled
127.2,1,1,18,0,6,15.0,6,12.833333333333334,Dropout
103.4,1,0,19,0,5,14.4,5,13.0,Graduate
123.2,1,0,18,0,1,11.0,0,0.0,Enrolled
124.1,1,0,18,0,5,12.4,5,10.8,Graduate
99.5,0,1,37,0,1,16.0,0,0.0,Dropout
124.9,1,0,29,0,5,13.571428571428571,5,12.333333333333334,Graduate
110.8,1,0,18,0,6,11.833333333333334,6,12.5,Enrolled
118.9,1,1,19,0,5,11.666666666666666,5,12.666666666666666,Graduate
118.8,0,0,22,0,6,11.833333333333334,2,13.0,Dropout
137.0,1,1,20,0,6,11.166666666666666,5,10.6,Graduate
100.0,1,0,34,0,0,0.0,0,0.0,Dropout
120.0,0,0,30,0,8,11.75,6,12.166666666666666,Dropout
122.8,1,0,18,0,6,14.0,6,14.0,Graduate
121.6,1,0,18,0,6,12.833333333333334,6,12.0,Graduate
149.2,1,0,18,0,4,12.25,3,11.666666666666666,Graduate
140.0,1,0,18,0,7,14.828571428571427,7,14.828571428571427,Graduate
133.4,1,1,19,0,5,11.4,5,12.8,Graduate
126.2,1,1,19,0,6,13.0,6,12.5,Graduate
127.8,1,1,18,0,7,13.671428571428573,7,13.671428571428573,Graduate
150.0,1,1,21,0,6,12.666666666666666,5,12.8,Graduate
113.7,0,0,20,0,2,10.0,1,13.0,Dropout
117.8,1,0,20,0,5,13.5,5,12.333333333333334,Graduate
136.7,1,0,19,0,7,12.67,8,13.55,Graduate
144.7,1,0,20,0,6,14.5,6,15.428571428571429,Graduate
139.8,1,0,18,0,7,13.685714285714283,8,15.3875,Graduate
113.7,1,0,20,0,5,11.0,3,10.666666666666666,Dropout
140.0,0,0,29,0,7,11.555555555555555,5,13.2,Dropout
142.3,1,1,18,0,7,13.79714285714286,8,13.775,Enrolled
119.6,1,1,20,0,7,14.00375,7,13.812857142857142,Graduate
123.7,1,1,22,0,4,12.0,4,11.4,Graduate
143.0,1,1,47,0,5,14.166666666666666,6,14.166666666666666,Graduate
100.1,1,0,31,0,5,14.0,5,13.8,Graduate
119.4,1,1,21,0,5,13.8,6,12.833333333333334,Graduate
122.1,1,0,21,0,5,12.8,6,11.857142857142858,Graduate
100.0,1,0,24,0,6,12.166666666666666,6,13.833333333333334,Graduate
113.9,1,0,18,0,6,12.5,6,12.333333333333334,Enrolled
101.0,1,0,32,0,4,12.0,4,11.5,Graduate
111.8,1,1,19,0,6,10.833333333333334,6,11.5,Graduate
140.0,1,0,24,0,8,13.385,8,13.385,Graduate
124.4,1,0,19,0,6,15.666666666666666,6,14.5,Graduate
150.0,1,1,19,0,6,14.333333333333334,6,13.833333333333334,Graduate
140.0,1,0,24,0,6,11.428571428571429,5,13.0,Enrolled
116.0,1,1,18,0,6,11.666666666666666,6,11.666666666666666,Graduate
135.6,1,1,19,0,5,12.0,2,11.333333333333334,Dropout
121.0,1,1,19,0,7,14.725714285714288,7,14.725714285714288,Graduate
118.7,1,1,18,0,6,14.166666666666666,6,13.666666666666666,Graduate
125.7,1,0,18,0,6,11.571428571428571,6,12.333333333333334,Graduate
107.1,1,0,20,0,7,12.5,8,13.1375,Graduate
125.5,1,0,18,0,8,12.86,8,12.86,Graduate
127.0,1,0,18,0,6,12.25,6,13.714285714285714,Graduate
113.5,1,1,21,0,4,12.0,5,12.2,Graduate
154.4,1,1,18,0,7,15.116666666666667,8,16.168888888888887,Graduate
122.0,0,0,18,0,2,12.5,4,10.25,Dropout
128.0,1,0,19,0,0,0.0,0,0.0,Dropout
115.5,1,0,19,0,4,11.0,4,11.0,Enrolled
117.2,1,0,18,0,6,11.875,4,14.6,Graduate
150.0,1,0,34,0,1,11.0,0,0.0,Dropout
155.3,1,0,19,0,5,15.2,5,13.2,Graduate
120.0,0,0,19,0,5,11.6,2,11.0,Dropout
116.1,1,0,26,0,6,14.833333333333334,6,15.142857142857142,Graduate
118.9,1,0,21,0,3,11.333333333333334,3,11.333333333333334,Dropout
127.3,1,1,18,0,5,11.2,5,11.8,Graduate
113.7,1,1,20,0,5,13.4,5,13.666666666666666,Graduate
118.5,1,0,25,0,2,10.5,0,0.0,Dropout
146.7,1,0,18,0,5,16.2,5,16.4,Graduate
124.3,1,1,18,0,7,14.542857142857144,8,14.88181818181818,Graduate
137.8,1,0,19,0,7,13.694285714285714,8,14.355555555555554,Graduate
130.2,1,1,18,0,6,11.285714285714286,6,11.857142857142858,Graduate
147.8,1,0,20,0,6,11.757142857142856,6,13.083333333333334,Enrolled
150.0,0,0,26,0,0,0.0,0,0.0,Dropout
100.0,1,1,19,0,7,13.058571428571428,7,13.058571428571428,Graduate
155.6,1,0,19,0,7,14.3,8,14.055555555555555,Graduate
117.4,1,0,19,0,5,11.8,8,12.0,Graduate
128.8,1,0,19,0,3,10.333333333333334,3,13.0,Enrolled
117.5,1,0,18,0,6,10.571428571428571,3,11.666666666666666,Graduate
120.4,1,0,19,0,6,13.333333333333334,6,13.333333333333334,Graduate
130.9,1,0,18,0,6,11.857142857142858,5,11.0,Graduate
125.0,1,0,18,0,5,12.6,5,11.4,Enrolled
136.8,1,0,18,0,5,14.0,5,11.6,Enrolled
121.6,1,0,18,0,5,12.0,6,12.666666666666666,Enrolled
151.0,1,0,26,0,0,0.0,0,0.0,Dropout
103.5,1,0,20,0,6,12.0,6,13.0,Graduate
119.4,1,0,19,0,6,12.666666666666666,6,11.666666666666666,Graduate
134.4,1,1,18,0,6,12.166666666666666,6,13.666666666666666,Graduate
143.0,1,0,19,0,6,13.333333333333334,6,14.666666666666666,Graduate
110.0,1,0,40,0,7,15.0,7,14.571428571428571,Graduate
132.5,1,1,18,0,8,13.39125,8,13.39125,Graduate
114.7,1,0,19,0,5,12.166666666666666,6,12.428571428571429,Graduate
166.9,1,0,18,0,4,11.25,4,12.5,Graduate
125.9,1,0,19,0,4,12.0,3,12.0,Enrolled
178.3,1,0,18,0,0,0.0,0,0.0,Dropout
117.0,1,0,33,0,6,12.833333333333334,6,12.857142857142858,Graduate
150.0,1,0,35,0,6,14.0,6,13.1,Graduate
130.0,1,0,26,0,4,13.0,2,12.0,Enrolled
135.1,1,0,18,0,6,13.5,6,12.5,Graduate
110.0,1,0,36,0,13,10.692307692307692,9,12.307692307692308,Enrolled
136.2,1,0,39,0,5,11.0,5,11.666666666666666,Graduate
116.0,1,0,44,0,6,13.0,6,13.833333333333334,Graduate
100.0,1,0,20,0,5,12.0,4,11.25,Enrolled
116.3,1,0,24,0,4,12.6,4,11.5,Dropout
134.0,1,1,20,0,6,13.666666666666666,6,13.333333333333334,Graduate
124.2,0,0,19,0,0,0.0,0,0.0,Dropout
134.5,1,1,18,0,6,14.2,6,14.2,Graduate
120.7,0,0,22,0,5,11.0,0,0.0,Dropout
127.1,1,0,18,0,6,15.0,6,16.428571428571427,Graduate
133.0,1,0,24,0,6,12.585714285714284,7,13.44285714285714,Graduate
128.2,1,0,33,0,0,0.0,0,0.0,Dropout
130.0,1,1,30,0,0,0.0,0,0.0,Enrolled
172.0,1,0,26,0,0,0.0,0,0.0,Dropout
128.5,1,0,18,0,6,11.666666666666666,6,11.833333333333334,Graduate
128.5,1,0,19,0,3,12.666666666666666,2,10.0,Dropout
112.0,1,0,20,0,3,10.333333333333334,4,11.0,Enrolled
142.5,1,1,22,0,8,13.5,7,13.714285714285714,Graduate
133.0,1,0,19,0,5,13.98,5,13.98,Enrolled
106.0,1,1,21,0,6,16.153846153846153,6,15.75,Graduate
125.5,1,1,21,0,6,14.033333333333331,6,14.033333333333331,Graduate
131.2,1,0,19,0,1,11.0,5,11.2,Enrolled
112.9,1,1,19,0,7,13.857142857142858,6,13.666666666666666,Graduate
124.8,1,0,18,0,7,13.414285714285716,7,13.414285714285716,Dropout
140.9,1,0,50,0,11,13.545454545454543,7,13.571428571428571,Graduate
148.0,1,1,31,0,4,11.25,4,10.833333333333334,Enrolled
148.4,1,1,19,0,6,13.833333333333334,6,14.428571428571429,Graduate
129.7,1,0,35,0,5,12.0,5,12.857142857142858,Graduate
128.2,1,0,31,0,0,0.0,0,0.0,Dropout
104.0,1,0,42,0,10,11.9,10,12.8,Enrolled
119.9,0,0,34,0,0,0.0,0,0.0,Dropout
141.0,1,1,18,0,7,15.135714285714286,8,15.287499999999998,Graduate
116.6,0,1,18,0,7,12.285714285714286,6,13.333333333333334,Enrolled
140.0,1,0,21,0,5,12.666666666666666,2,13.5,Enrolled
140.0,1,1,26,0,5,12.74,6,10.978571428571428,Dropout
100.0,1,0,20,0,6,13.25,8,13.75,Enrolled
121.0,1,0,19,0,3,10.333333333333334,3,10.333333333333334,Enrolled
117.0,1,1,19,0,6,13.428571428571429,6,13.166666666666666,Graduate
140.2,1,0,20,0,9,12.555555555555555,8,11.11111111111111,Graduate
129.3,1,0,19,0,6,11.5,6,11.166666666666666,Graduate
145.3,1,0,18,0,6,13.666666666666666,6,12.333333333333334,Graduate
146.2,1,0,28,0,11,11.272727272727272,10,12.0,Graduate
122.5,1,0,22,0,5,13.166666666666666,5,12.4,Enrolled
156.1,1,1,21,0,6,14.666666666666666,6,14.166666666666666,Graduate
140.0,1,0,21,0,4,12.75,1,11.0,Enrolled
140.0,1,0,26,0,5,11.2,5,12.14,Enrolled
128.4,0,0,18,0,5,13.0,5,11.4,Dropout
115.0,0,0,20,0,2,10.5,2,12.333333333333334,Dropout
158.7,1,0,18,0,6,14.857142857142858,6,14.0,Graduate
124.5,1,1,19,0,7,12.86,7,12.86,Graduate
111.9,1,0,20,0,11,11.727272727272728,11,12.0,Graduate
150.0,1,1,22,0,6,13.142857142857142,3,12.0,Graduate
114.2,1,0,18,0,5,11.8,4,13.714285714285714,Dropout
96.0,1,0,19,0,3,10.666666666666666,0,0.0,Dropout
128.9,1,1,18,0,5,11.6,4,11.2,Enrolled
121.7,1,0,20,0,3,10.333333333333334,3,10.333333333333334,Enrolled
114.8,1,0,19,0,4,12.25,3,11.0,Enrolled
127.0,1,0,19,0,6,12.0,4,12.75,Enrolled
131.3,1,0,19,0,7,14.731428571428571,7,14.731428571428571,Graduate
137.1,1,0,18,0,0,0.0,0,0.0,Graduate
120.0,1,0,21,0,13,13.615384615384617,12,14.25,Graduate
139.0,1,0,27,0,5,15.8,5,14.8,Graduate
129.1,1,0,19,0,6,14.666666666666666,6,14.571428571428571,Graduate
128.2,1,0,25,0,0,0.0,0,0.0,Dropout
120.8,1,1,18,0,7,14.654285714285717,7,14.654285714285717,Graduate
135.8,1,0,24,0,7,12.401428571428571,7,12.401428571428571,Graduate
118.9,1,0,20,0,7,11.5875,7,14.071428571428571,Graduate
140.0,1,0,26,0,5,14.0,5,15.6,Graduate
127.1,1,1,20,0,6,12.333333333333334,6,11.833333333333334,Graduate
137.0,1,0,18,0,5,14.0,5,15.4,Graduate
127.4,1,0,19,0,6,15.23076923076923,6,12.375,Graduate
97.0,1,0,23,0,5,11.6,3,11.0,Dropout
126.3,1,1,18,0,6,11.6,6,11.6,Graduate
127.5,1,0,18,0,0,0.0,0,0.0,Dropout
126.6,1,1,19,0,7,12.901428571428571,8,13.094444444444443,Graduate
120.0,1,0,30,0,7,14.142857142857142,5,14.8,Graduate
140.0,1,0,29,0,0,0.0,0,0.0,Dropout
131.5,1,0,19,0,8,13.25375,8,13.25375,Graduate
112.2,1,0,20,0,7,13.785714285714286,8,14.1,Graduate
150.5,1,0,20,0,6,13.916666666666666,6,13.916666666666666,Graduate
121.0,1,0,19,0,6,13.5,6,13.571428571428571,Graduate
112.2,1,0,20,0,3,11.333333333333334,2,10.666666666666666,Enrolled
129.4,1,0,21,0,0,0.0,0,0.0,Dropout
