age,gender,family_income,internet_access,study_hours_per_day,attendance_rate,assignment_delay_days,travel_time_minutes,scholarship,stress_index,cgpa,parental_education,dropout
23.0,Female,35396.0,Yes,1.35,74.5,0,31.1,Yes,6.7,0.93,High School,1
19.2,Female,56894.0,Yes,4.34,76.4,1,15.6,No,3.3,2.68,Bachelor,0
20.3,Female,77162.0,Yes,4.16,91.3,3,28.2,Yes,3.5,2.57,Bachelor,0
21.7,Female,25000.0,Yes,3.9,85.2,5,34.9,No,6.6,0.42,Master,1
23.1,Female,25000.0,Yes,3.17,71.8,2,21.9,No,3.3,0.35,High School,0
19.9,Female,25000.0,Yes,4.18,78.7,2,38.9,No,4.1,4.0,High School,0
20.6,Male,39191.0,Yes,4.55,81.8,3,40.2,Yes,3.7,2.32,PhD,0
18.6,Male,25000.0,Yes,6.55,100.0,0,15.5,Yes,5.8,3.13,Bachelor,0
18.4,Male,25000.0,Yes,4.7,82.1,1,20.9,No,6.6,1.71,PhD,0
22.8,Female,32151.0,No,4.76,85.6,1,13.9,No,6.6,1.63,High School,0
24.0,Male,31286.0,Yes,3.03,74.1,2,35.1,Yes,4.5,3.04,Bachelor,0
20.8,Male,37293.0,Yes,2.76,87.8,0,31.5,No,5.2,3.68,Bachelor,0
23.2,Male,38801.0,Yes,2.72,93.0,2,10.8,No,6.8,4.0,High School,0
21.8,Male,36430.0,Yes,3.61,80.8,1,22.2,No,4.5,1.48,Master,0
19.6,Female,33396.0,Yes,4.08,86.9,4,33.7,No,3.9,2.97,PhD,0
21.8,Female,30744.0,Yes,4.28,86.6,3,31.4,Yes,4.3,2.28,Bachelor,0
24.4,Female,44305.0,Yes,2.94,82.6,1,44.5,No,4.4,3.55,Bachelor,0
20.9,Female,25000.0,Yes,1.09,92.3,1,16.2,No,5.6,2.33,Bachelor,0
24.4,Female,75102.0,Yes,3.45,75.6,2,29.9,No,5.5,4.0,Bachelor,0
17.0,Male,25000.0,No,5.22,75.0,1,18.0,No,5.2,3.97,Master,0
22.8,Male,25000.0,Yes,3.51,82.0,2,31.3,No,4.1,2.52,Bachelor,0
21.2,Female,,Yes,,79.0,2,27.8,No,,3.59,Bachelor,0
20.3,Male,44514.0,Yes,1.93,58.7,3,33.3,No,6.7,1.8,,1
21.2,Male,25000.0,Yes,4.16,76.1,2,25.1,No,6.1,1.27,High School,0
17.0,Female,29235.0,Yes,4.53,65.0,0,39.1,Yes,4.7,1.17,High School,0
20.5,Male,,No,,79.4,2,21.4,No,,1.85,Master,0
21.8,Male,53998.0,Yes,5.25,87.7,1,17.8,No,7.7,0.76,Master,0
24.3,Male,25000.0,Yes,5.56,82.4,2,32.7,Yes,5.4,0.89,Bachelor,0
19.9,Male,25000.0,Yes,6.75,83.1,0,52.2,No,5.5,1.86,Master,0
19.2,Male,25000.0,Yes,2.8,80.8,2,11.7,No,8.2,3.11,Bachelor,0
19.9,Male,25000.0,Yes,4.37,83.7,0,16.3,No,7.4,2.94,Master,0
23.0,Female,25000.0,Yes,2.46,100.0,1,32.8,Yes,4.3,3.2,Master,0
21.7,Female,25000.0,Yes,4.79,79.2,3,43.5,No,7.4,1.42,Master,1
19.8,Male,,Yes,,81.9,0,33.7,No,,2.7,High School,1
22.1,Female,32176.0,Yes,1.49,75.1,1,22.7,No,3.6,2.94,Bachelor,0
21.2,Male,39933.0,Yes,4.35,66.8,1,35.0,No,7.8,2.64,High School,0
23.1,Male,33807.0,No,3.74,84.1,0,36.2,No,4.2,0.67,High School,1
19.5,Male,,No,,91.1,3,21.8,No,,3.8,High School,0
20.3,Female,50359.0,Yes,3.62,100.0,0,39.9,No,4.8,3.63,High School,0
20.1,Male,25000.0,Yes,6.68,80.5,3,29.6,Yes,9.2,0.01,High School,0
17.8,Female,25000.0,Yes,4.75,79.9,0,9.0,No,3.8,0.43,Master,1
21.7,Female,,Yes,,74.5,0,28.4,No,,1.5,Bachelor,0
21.6,Female,29331.0,No,3.57,95.7,4,23.2,No,4.9,2.62,PhD,0
21.0,Female,25000.0,Yes,1.48,72.1,2,45.7,Yes,6.4,2.13,PhD,0
20.5,Female,51391.0,Yes,2.6,87.3,0,14.1,Yes,5.4,1.4,High School,0
17.9,Male,97535.0,Yes,6.19,96.6,1,24.2,Yes,4.3,4.0,Master,1
20.1,Male,,Yes,,80.0,2,33.1,Yes,,2.3,High School,0
20.2,Female,31276.0,Yes,4.59,72.7,1,59.0,No,7.9,2.3,Bachelor,0
19.2,Female,49497.0,Yes,4.51,88.3,2,53.5,Yes,2.6,3.24,Bachelor,0
20.6,Male,25000.0,Yes,5.84,71.2,2,29.5,No,4.3,1.92,Bachelor,0
21.9,Male,30245.0,Yes,4.42,91.5,0,34.2,No,6.4,1.01,,0
25.1,Male,,Yes,,97.9,4,37.2,Yes,,3.36,Master,1
21.4,Male,,Yes,,63.0,3,17.9,No,,1.66,High School,1
21.6,Male,,No,,95.3,1,30.1,No,,1.55,Bachelor,0
20.8,Female,26596.0,Yes,3.64,87.1,2,46.3,No,6.6,1.43,Bachelor,0
17.0,Female,28669.0,No,6.21,93.1,0,31.7,Yes,6.4,4.0,Bachelor,0
20.9,Male,25000.0,No,2.63,76.8,1,53.4,No,6.8,1.19,Bachelor,1
21.1,Female,104579.0,Yes,3.34,87.0,2,24.7,No,6.1,2.68,Master,0
26.4,Female,25000.0,Yes,1.63,83.9,2,28.9,No,4.9,2.13,High School,1
20.6,Male,25000.0,Yes,5.31,75.7,1,29.0,No,7.2,1.49,High School,0
21.7,Male,28108.0,Yes,4.45,79.2,3,14.4,Yes,4.6,2.83,Bachelor,0
20.9,Female,51263.0,Yes,6.26,86.6,0,43.3,Yes,5.2,2.48,High School,0
18.4,Female,30045.0,No,3.17,73.0,2,26.0,No,2.5,2.69,Master,0
23.5,Male,39789.0,Yes,2.97,72.4,2,33.1,Yes,4.6,2.96,Bachelor,0
22.7,Female,,Yes,,56.8,0,22.8,Yes,,0.0,Master,0
22.7,Male,72592.0,No,4.59,75.8,3,50.7,Yes,5.5,1.83,Bachelor,1
19.0,Male,41649.0,Yes,3.54,84.3,4,44.8,No,7.2,2.67,,1
24.1,Male,55749.0,Yes,4.39,77.9,0,30.7,No,4.7,0.0,Bachelor,0
17.9,Male,37016.0,Yes,3.45,92.2,1,15.3,No,4.8,1.18,Bachelor,0
22.3,Female,48773.0,Yes,5.87,70.4,2,38.9,No,4.5,1.87,High School,1
25.8,Female,25000.0,Yes,5.64,86.1,3,43.0,No,5.9,3.41,Master,0
18.8,Male,25000.0,Yes,4.11,79.1,1,18.9,No,8.3,1.92,Master,0
19.8,Female,66695.0,Yes,5.37,81.2,0,28.3,No,1.3,4.0,Bachelor,0
21.2,Female,75799.0,Yes,3.83,87.5,1,30.9,Yes,4.6,1.8,High School,0
19.9,Male,25000.0,Yes,3.94,60.9,2,43.0,No,4.9,1.92,High School,1
17.6,Female,34539.0,Yes,1.19,64.9,1,28.2,No,1.7,1.93,Bachelor,0
21.2,Male,25000.0,Yes,4.66,81.5,2,41.5,No,5.3,1.5,Bachelor,0
18.7,Female,25000.0,Yes,4.03,80.2,2,20.7,Yes,4.9,2.28,High School,0
22.0,Male,35274.0,Yes,5.14,70.6,3,17.3,No,4.7,2.56,High School,0
19.0,Female,58958.0,Yes,4.93,98.0,1,52.0,No,3.5,2.72,Master,0
24.4,Male,38988.0,Yes,3.03,72.7,1,14.3,Yes,5.3,1.79,Master,0
19.3,Female,25000.0,Yes,3.75,77.7,2,21.0,No,3.4,2.29,PhD,0
20.3,Female,40494.0,No,3.38,91.2,2,39.4,Yes,4.0,1.88,Bachelor,0
22.8,Male,25000.0,Yes,5.36,76.6,3,23.6,No,5.1,3.95,Bachelor,0
18.3,Male,38073.0,Yes,6.05,75.1,1,23.3,No,7.3,1.01,High School,0
21.5,Male,68726.0,Yes,5.04,85.1,1,27.6,No,6.2,0.83,Bachelor,1
23.9,Female,25000.0,No,6.58,76.1,1,5.0,No,6.6,3.93,Bachelor,0
17.5,Male,47971.0,Yes,4.68,85.2,2,43.4,No,9.0,2.96,Bachelor,0
21.4,Female,25000.0,Yes,2.73,86.1,1,32.1,Yes,6.3,2.63,High School,0
21.6,Male,62131.0,Yes,2.2,85.0,4,20.3,No,3.6,0.97,High School,0
22.7,Male,25000.0,Yes,2.8,91.4,3,9.4,Yes,4.5,2.73,Master,0
18.3,Male,25000.0,Yes,3.41,78.9,1,13.6,Yes,4.0,1.91,High School,0
18.1,Male,45124.0,Yes,3.12,78.0,0,10.9,Yes,5.3,2.27,Master,0
22.1,Female,36994.0,Yes,4.07,81.3,3,32.7,No,4.8,3.09,High School,0
21.7,Female,25000.0,Yes,3.77,59.4,5,32.8,No,3.8,3.26,Bachelor,0
21.6,Male,25000.0,Yes,4.1,83.7,0,37.3,Yes,7.2,2.53,High School,0
21.8,Female,26569.0,Yes,7.17,79.4,2,38.8,Yes,7.3,1.25,Bachelor,0
19.5,Male,25000.0,Yes,5.14,85.1,1,37.5,Yes,5.8,3.86,Master,0
21.5,Female,25000.0,Yes,4.35,74.8,1,48.5,No,3.7,3.42,Bachelor,0
21.6,Male,31868.0,Yes,5.38,92.8,4,44.3,Yes,5.7,4.0,Bachelor,0
19.4,Female,25000.0,No,2.95,80.3,2,41.5,No,4.4,3.87,Master,0
25.1,Female,38404.0,Yes,2.9,88.7,1,32.8,No,7.8,0.88,PhD,1
22.0,Male,72699.0,Yes,5.19,77.9,2,38.6,No,3.3,3.55,Master,0
18.4,Female,27197.0,Yes,4.0,85.7,2,25.1,No,6.7,2.42,,0
22.4,Male,32148.0,Yes,4.16,69.6,0,27.3,Yes,6.6,1.54,High School,0
18.9,Male,99793.0,Yes,2.51,64.4,4,50.7,Yes,7.1,2.29,High School,0
22.7,Male,25000.0,Yes,3.38,80.3,1,23.3,No,5.9,2.77,Master,0
23.5,Male,60763.0,Yes,3.47,81.8,1,22.4,No,4.9,1.16,Bachelor,0
19.2,Male,56529.0,Yes,3.37,81.2,1,25.7,No,9.8,1.06,Bachelor,1
23.1,Male,49642.0,Yes,6.79,79.7,3,23.4,No,3.9,2.18,Master,0
21.9,Male,64541.0,Yes,6.76,78.8,2,24.4,No,6.8,2.62,Bachelor,0
22.8,Male,35184.0,Yes,5.48,87.4,1,32.9,Yes,5.5,3.08,High School,0
25.2,Female,25000.0,Yes,4.13,96.3,0,33.3,No,6.1,2.24,,1
20.5,Female,57339.0,Yes,3.24,100.0,2,40.9,Yes,6.1,4.0,Bachelor,0
19.3,Male,58671.0,Yes,2.65,90.8,1,56.3,No,3.6,3.81,Bachelor,0
19.0,Male,57710.0,Yes,4.44,63.7,0,25.6,Yes,3.1,0.97,Bachelor,0
19.2,Male,30537.0,No,5.66,90.4,0,29.2,Yes,3.2,3.73,Bachelor,0
20.8,Female,25000.0,Yes,5.01,90.3,3,7.9,No,4.7,3.7,,0
21.8,Female,33350.0,Yes,4.13,81.2,1,14.5,Yes,5.9,0.8,High School,0
21.6,Male,52331.0,Yes,4.87,89.4,2,28.2,Yes,4.3,3.54,High School,0
22.8,Male,54974.0,No,3.98,84.9,1,35.6,No,2.9,2.68,Master,0
21.0,Male,25000.0,Yes,3.64,81.9,0,35.9,No,7.2,2.23,Bachelor,0
24.2,Male,35926.0,Yes,2.68,84.0,4,37.4,No,2.7,1.71,High School,0
20.4,Female,25000.0,Yes,3.57,77.6,1,45.1,No,6.4,1.99,Bachelor,0
27.0,Female,53689.0,Yes,4.39,67.3,2,50.5,No,4.1,3.54,Bachelor,0
22.4,Male,25000.0,Yes,3.46,67.0,6,27.1,Yes,7.7,0.29,Bachelor,1
19.1,Female,47627.0,Yes,2.51,89.3,5,20.4,No,4.6,2.11,High School,0
18.6,Male,25000.0,Yes,4.15,73.8,1,37.9,No,2.3,2.26,Bachelor,0
22.1,Male,55207.0,No,4.39,69.8,2,41.2,No,5.4,2.8,High School,0
20.5,Female,36066.0,Yes,3.52,69.6,3,31.6,Yes,4.0,1.77,Bachelor,0
22.6,Female,25000.0,Yes,3.97,78.2,0,27.9,Yes,7.0,2.32,Master,0
22.0,Male,45018.0,Yes,0.71,94.1,1,24.0,Yes,6.1,1.41,Master,0
20.8,Male,25000.0,Yes,4.96,80.8,1,29.5,No,4.4,3.43,High School,0
19.1,Female,46618.0,Yes,4.37,70.6,2,38.3,Yes,3.7,4.0,Bachelor,0
17.7,Female,25224.0,No,5.84,93.9,1,22.0,No,3.5,3.73,Bachelor,0
20.0,Male,25000.0,Yes,3.72,84.6,1,20.4,No,4.4,2.51,High School,0
22.9,Male,25000.0,Yes,4.95,79.2,1,37.2,No,8.0,2.01,High School,0
21.5,Male,25000.0,No,5.53,85.9,3,19.8,No,5.2,2.67,PhD,0
18.3,Female,67570.0,Yes,4.03,82.1,0,31.8,Yes,7.2,2.29,Master,0
21.4,Female,51056.0,Yes,4.45,76.3,1,31.2,No,2.8,2.97,High School,0
21.8,Male,78772.0,Yes,4.19,77.6,2,30.0,No,2.0,2.95,High School,0
19.1,Female,80192.0,Yes,1.92,72.1,4,22.3,Yes,3.8,3.22,Bachelor,0
21.3,Female,25000.0,Yes,4.5,78.2,3,50.8,Yes,6.7,0.19,High School,1
21.1,Male,26553.0,No,2.78,89.4,0,34.8,No,5.0,3.24,High School,0
18.5,Male,25000.0,Yes,2.88,89.2,0,23.8,No,7.1,1.4,High School,0
21.8,Female,25000.0,Yes,4.68,80.6,2,34.0,No,7.8,2.15,Master,0
22.2,Female,25000.0,Yes,5.68,80.7,3,52.0,No,3.8,2.07,Master,1
23.4,Female,29471.0,Yes,5.02,73.7,1,31.1,No,7.0,2.07,,0
23.3,Female,25000.0,Yes,4.76,85.2,1,48.4,Yes,8.0,2.97,Bachelor,0
18.0,Male,29129.0,No,4.44,70.9,4,16.2,No,7.4,2.25,High School,0
18.9,Male,105817.0,No,5.13,88.7,5,19.8,No,2.6,2.11,High School,0
22.1,Female,25000.0,No,6.19,85.3,2,5.0,Yes,2.2,3.82,High School,0
22.1,Male,33418.0,Yes,3.25,79.9,2,53.7,No,4.7,2.01,Master,0
22.1,Female,51225.0,Yes,3.29,85.5,0,9.6,No,4.8,1.56,High School,0
29.5,Female,35178.0,Yes,4.95,79.3,2,32.1,No,7.0,2.65,Bachelor,0
22.3,Female,35436.0,Yes,1.78,83.5,1,50.9,No,3.8,2.73,Master,0
23.5,Male,25000.0,Yes,3.87,83.7,1,41.7,No,6.2,1.29,Master,0
23.1,Female,25871.0,Yes,4.34,91.3,2,34.5,Yes,3.6,3.81,Bachelor,0
22.4,Female,25000.0,No,3.29,85.9,2,45.4,No,6.1,1.5,Bachelor,1
20.3,Female,49396.0,Yes,1.51,90.4,1,22.0,Yes,4.7,2.44,High School,1
22.7,Male,25000.0,Yes,5.8,85.1,5,36.2,Yes,6.1,4.0,Master,0
19.3,Male,53245.0,Yes,3.22,81.5,0,28.6,Yes,4.8,2.23,Bachelor,0
20.5,Male,25000.0,Yes,3.28,86.1,1,28.4,No,1.5,3.33,PhD,0
19.9,Male,52974.0,Yes,5.73,84.8,2,32.3,No,6.4,1.72,Bachelor,0
21.2,Male,25000.0,Yes,0.5,79.1,0,44.1,No,7.6,1.27,High School,0
26.1,Female,25000.0,Yes,5.96,70.7,3,48.8,No,4.0,1.77,Bachelor,0
17.0,Female,42091.0,No,6.89,77.8,3,26.8,No,7.0,3.46,High School,0
22.5,Female,51910.0,Yes,2.84,77.8,0,16.9,No,4.4,2.43,Bachelor,0
17.5,Female,25000.0,Yes,3.36,86.4,1,20.2,Yes,3.1,2.8,High School,0
20.0,Male,45815.0,Yes,4.63,81.5,2,53.4,Yes,4.4,4.0,Bachelor,0
23.4,Female,25000.0,Yes,4.33,75.5,2,47.8,Yes,5.2,2.55,Master,1
21.1,Male,25000.0,Yes,5.28,80.7,1,16.9,Yes,3.1,3.7,Bachelor,0
18.6,Male,64566.0,Yes,4.65,79.4,1,49.9,Yes,7.9,3.86,Bachelor,0
19.4,Male,25999.0,Yes,5.08,74.6,0,21.5,No,2.7,3.86,High School,0
22.5,Female,25000.0,Yes,8.47,93.7,1,38.0,Yes,4.5,3.94,Master,0
19.4,Female,25000.0,Yes,1.93,80.5,2,21.5,No,3.8,2.81,High School,0
21.5,Male,25000.0,Yes,5.75,75.7,3,56.0,No,7.9,2.68,High School,0
21.1,Female,26915.0,Yes,5.92,68.7,0,23.2,No,2.8,3.07,Master,0
19.6,Male,25000.0,Yes,2.57,82.7,0,17.4,No,7.0,0.78,Master,0
25.7,Male,33102.0,Yes,2.96,86.1,4,24.5,No,5.9,1.98,Bachelor,0
22.4,Female,28519.0,Yes,4.65,76.8,2,61.5,No,3.3,4.0,Master,0
17.0,Female,67228.0,Yes,2.38,83.1,0,33.1,No,4.9,2.09,Master,1
21.4,Female,38358.0,Yes,3.2,73.3,2,17.7,No,5.2,1.83,Bachelor,1
19.5,Female,39128.0,No,4.31,80.2,0,20.5,No,6.6,2.65,Bachelor,0
22.9,Female,59820.0,Yes,3.11,90.7,1,9.0,No,4.3,3.71,Bachelor,0
19.3,Female,25000.0,Yes,3.7,80.1,4,36.5,No,6.6,0.91,PhD,1
20.7,Female,25000.0,Yes,2.87,76.8,1,15.0,No,5.6,0.88,Bachelor,0
22.1,Female,61340.0,Yes,2.77,92.7,1,43.3,No,6.3,0.27,High School,1
22.9,Female,32257.0,Yes,4.61,83.6,0,39.5,Yes,3.9,3.07,Master,0
18.4,Female,32325.0,No,3.87,78.0,0,28.8,No,5.1,1.62,PhD,0
20.3,Male,25000.0,Yes,4.16,75.1,1,44.8,No,5.7,0.08,PhD,0
20.0,Female,25000.0,No,4.92,72.8,1,41.1,No,5.6,1.36,Master,1
19.6,Male,49416.0,Yes,4.24,85.4,4,31.9,Yes,5.4,2.0,High School,1
24.9,Male,53680.0,Yes,3.56,88.1,3,20.8,No,9.3,1.54,,1
21.9,Female,47586.0,No,2.86,82.0,0,35.0,No,6.5,3.48,Master,0
18.2,Male,47848.0,Yes,4.58,80.4,2,34.9,No,6.8,2.82,High School,0
23.0,Male,,Yes,,71.7,1,35.9,No,,3.07,High School,0
25.7,Female,32174.0,No,5.14,70.7,1,30.9,No,6.5,2.17,Bachelor,1
23.3,Male,26763.0,No,2.04,82.6,1,33.9,No,5.9,0.44,,1
17.7,Male,61463.0,Yes,1.37,82.1,3,33.6,No,8.8,0.02,Bachelor,1
19.9,Female,25000.0,Yes,3.04,85.3,2,46.3,No,5.4,1.85,Master,0
23.8,Male,37123.0,Yes,2.0,85.8,3,14.7,No,7.0,2.43,Master,0
19.4,Male,25000.0,Yes,2.33,78.7,0,18.0,Yes,9.3,0.41,Master,1
22.0,Male,25000.0,Yes,0.91,96.8,2,30.9,No,6.7,1.58,Master,0
22.7,Female,,No,,73.3,2,20.9,Yes,,1.74,High School,0
19.0,Female,25000.0,Yes,2.49,78.2,1,32.5,No,4.2,3.9,Bachelor,0
20.9,Female,47988.0,Yes,2.48,88.9,2,16.6,No,4.6,3.74,Bachelor,0
17.0,Male,25000.0,Yes,3.14,76.9,3,18.5,No,6.2,1.74,High School,1
18.7,Female,,Yes,,82.9,1,54.7,Yes,,2.44,Bachelor,1
20.4,Female,32193.0,Yes,3.66,77.7,2,27.2,No,6.6,2.29,High School,0
18.3,Male,25000.0,Yes,2.18,78.9,1,15.9,Yes,4.8,3.96,PhD,0
24.6,Female,25000.0,Yes,5.28,71.6,3,28.6,No,5.0,2.39,Master,0
17.9,Female,34663.0,Yes,4.36,88.1,3,42.4,No,5.2,3.18,Bachelor,0
20.0,Female,38455.0,Yes,4.54,88.3,0,44.5,No,3.1,4.0,High School,0
21.3,Male,26302.0,Yes,3.43,88.2,2,12.5,No,4.7,1.55,Bachelor,0
24.2,Male,44629.0,Yes,5.4,78.6,2,20.8,Yes,4.6,3.93,High School,0
17.8,Male,27845.0,Yes,4.64,84.7,2,32.7,No,10.0,0.22,Bachelor,1
23.6,Male,29977.0,Yes,4.25,98.0,0,29.6,No,7.2,1.19,High School,1
21.0,Female,34579.0,Yes,5.3,84.3,3,10.8,No,3.6,3.71,Master,0
18.8,Male,51855.0,Yes,1.83,72.8,2,12.7,No,2.7,1.02,Bachelor,0
22.0,Female,25000.0,Yes,4.25,75.2,1,17.2,No,3.1,1.13,Bachelor,1
21.4,Male,25000.0,No,3.13,74.8,0,8.7,Yes,8.0,2.67,Bachelor,0
19.7,Male,25000.0,Yes,3.06,92.6,3,24.5,No,3.1,3.04,High School,0
21.2,Female,25000.0,Yes,5.04,85.2,1,44.3,No,8.4,2.05,,0
20.2,Male,69964.0,Yes,5.78,69.4,1,22.0,Yes,5.9,3.94,High School,0
21.2,Female,41925.0,Yes,5.65,92.4,1,43.0,No,5.1,3.42,Master,0
22.5,Male,25000.0,Yes,4.01,86.5,0,30.4,No,3.4,3.96,Bachelor,0
24.5,Male,25000.0,Yes,3.58,83.4,1,27.8,Yes,7.8,2.11,High School,0
18.3,Female,37185.0,Yes,5.61,94.1,0,10.0,No,6.5,3.27,Bachelor,0
25.7,Female,25000.0,Yes,2.72,80.2,2,44.0,No,7.1,2.6,PhD,0
17.0,Male,25000.0,Yes,6.21,92.9,1,31.4,No,5.0,1.85,High School,1
20.7,Male,66634.0,Yes,3.5,64.3,1,10.8,Yes,6.7,0.28,High School,0
22.3,Female,25000.0,Yes,3.94,76.1,0,34.6,Yes,8.2,2.32,Bachelor,0
21.6,Female,52723.0,Yes,3.31,88.3,1,22.9,No,6.6,1.89,Master,0
19.6,Female,63145.0,Yes,4.05,95.4,1,30.7,Yes,3.6,2.25,High School,0
20.5,Male,,Yes,,72.3,3,32.9,Yes,,1.31,Master,0
19.9,Female,25000.0,No,3.52,78.7,2,44.6,No,6.9,1.19,Bachelor,1
19.7,Male,25193.0,Yes,4.2,83.3,1,16.5,No,8.5,1.95,High School,0
22.9,Male,25000.0,Yes,3.86,74.5,2,36.9,No,6.6,3.74,,0
21.8,Female,31972.0,Yes,0.76,79.9,3,45.9,Yes,7.5,1.85,Bachelor,0
19.5,Male,26281.0,Yes,7.22,94.7,3,60.2,Yes,6.6,3.07,Master,0
23.0,Male,36914.0,Yes,6.06,73.7,1,42.6,Yes,3.1,4.0,High School,0
21.7,Male,68745.0,Yes,2.49,80.1,4,34.3,No,7.0,2.32,High School,1
22.8,Male,48557.0,Yes,3.19,84.2,4,33.3,No,5.7,3.66,High School,0
22.4,Female,39877.0,Yes,3.78,85.7,4,48.6,Yes,9.1,2.04,Master,0
19.2,Female,25000.0,Yes,4.86,75.1,3,26.6,Yes,2.9,2.49,High School,0
19.8,Male,38794.0,Yes,4.61,80.6,0,39.6,No,3.5,2.18,High School,0
